closed_issues,closed_prs,comment,commits,created_at,description,forks,inner_source,is_nvidia,latest_release.published_at,latest_release.tag_name,license,name,open_days,open_issues,open_prs,pushed_at,quadrant,ring,stars,status,topics,url
1437,4246,libraries,3901,2018-06-01T22:18:01Z,A GPU-accelerated library containing highly optimized building blocks and an execution engine for data processing to accelerate deep learning training and inference applications.,638,FALSE,TRUE,2025-05-27T17:43:38Z,v1.50.0,Apache License 2.0,NVIDIA/DALI,2564,218,35,2025-06-04T13:40:37Z,Platform,Assess,5423,new,"audio-processing, data-augmentation, data-processing, deep-learning, fast-data-pipeline, gpu, gpu-tensorflow, image-augmentation, image-processing, machine-learning, mxnet, neural-network, paddle, python, pytorch",https://github.com/NVIDIA/DALI
9,15,,90,2023-12-03T07:09:09Z,"Causal depthwise conv1d in CUDA, with a PyTorch interface",104,FALSE,TRUE,2024-12-06T09:27:13Z,v1.5.0.post8,"BSD 3-Clause ""New"" or ""Revised"" License",Dao-AILab/causal-conv1d,554,24,12,2025-05-26T01:59:45Z,Platform,Hold,480,new,No Topics,https://github.com/Dao-AILab/causal-conv1d
971,456,libraries,924,2021-06-04T00:10:34Z,Accessible large language models via k-bit quantization for PyTorch.,703,FALSE,FALSE,2025-05-27T21:27:00Z,0.46.0,MIT License,bitsandbytes-foundation/bitsandbytes,1466,179,13,2025-06-08T18:13:54Z,Platform,Assess,7115,new,"llm, machine-learning, pytorch, qlora, quantization",https://github.com/bitsandbytes-foundation/bitsandbytes
242,237,,770,2023-04-13T02:18:11Z,"An easy-to-use LLMs quantization package with user-friendly apis, based on GPTQ algorithm.",519,FALSE,FALSE,2024-03-01T13:14:57Z,v0.7.1,MIT License,AutoGPTQ/AutoGPTQ,788,243,32,2025-04-11T13:27:20Z,Tool,Hold,4866,new,"deep-learning, inference, large-language-models, llms, nlp, pytorch, quantization, transformer, transformers",https://github.com/AutoGPTQ/AutoGPTQ
574,475,,1437,2018-05-02T17:04:05Z,State-of-the-Art Deep Learning scripts organized by models - easy to train and deploy with reproducible accuracy and performance on enterprise-grade infrastructure.,3345,FALSE,TRUE,,,No License,NVIDIA/DeepLearningExamples,2595,288,70,2024-08-12T14:01:29Z,Application,Hold,14314,new,"computer-vision, deep-learning, drug-discovery, forecasting, large-language-models, mxnet, nlp, paddlepaddle, pytorch, recommender-systems, speech-recognition, speech-synthesis, tensorflow, tensorflow2, translation",https://github.com/NVIDIA/DeepLearningExamples
909,866,,1229,2024-05-11T03:41:58Z,"Simple, scalable AI model deployment on GPU clusters",287,FALSE,FALSE,2025-06-06T04:06:40Z,v0.6.2rc1,Apache License 2.0,gpustack/gpustack,394,401,14,2025-06-09T06:32:02Z,Tool,Trial,2849,new,"ascend, cuda, deepseek, distributed-inference, genai, heterogeneous-cluster, inference, llama, llamacpp, llm, llm-inference, llm-serving, local-ai, maas, metal, mindie, openai, qwen, rocm, vllm",https://github.com/gpustack/gpustack
1731,1769,,1774,2020-10-30T13:27:12Z,"A simple way to launch, train, and use PyTorch models on almost any device and distributed configuration, automatic mixed precision (including fp8), and easy-to-configure FSDP and DeepSpeed support",1123,FALSE,FALSE,2025-05-15T12:33:48Z,v1.7.0,Apache License 2.0,huggingface/accelerate,1683,80,20,2025-06-06T15:11:58Z,Platform,Assess,8812,new,No Topics,https://github.com/huggingface/accelerate
199,451,,420,2024-01-26T13:15:39Z,Lighteval is your all-in-one toolkit for evaluating LLMs across multiple backends,279,FALSE,FALSE,2025-05-22T14:54:26Z,v0.10.0,MIT License,huggingface/lighteval,500,117,34,2025-06-06T08:02:03Z,Tool,Assess,1601,new,"evaluation, evaluation-framework, evaluation-metrics, huggingface",https://github.com/huggingface/lighteval
1389,1900,,4558,2022-12-21T04:17:37Z,A Gradio web UI for Large Language Models with support for multiple inference backends.,5655,FALSE,FALSE,2025-05-31T02:12:49Z,v3.4.1,GNU Affero General Public License v3.0,oobabooga/text-generation-webui,901,2539,6,2025-06-09T05:15:21Z,Tool,Assess,43865,new,No Topics,https://github.com/oobabooga/text-generation-webui
1270,1618,,1401,2022-10-08T10:26:28Z,Large Language Model Text Generation Inference,1196,FALSE,FALSE,2025-05-30T14:20:39Z,v3.3.2,Apache License 2.0,huggingface/text-generation-inference,975,255,34,2025-06-06T16:07:18Z,Application,Assess,10195,new,"bloom, deep-learning, falcon, gpt, inference, nlp, pytorch, starcoder, transformer",https://github.com/huggingface/text-generation-inference
2012,1382,,1265,2023-06-14T07:05:04Z,"Replace OpenAI GPT with another LLM in your app by changing a single line of code. Xinference gives you the freedom to use any LLM you need. With Xinference, you're empowered to run inference with any open-source language models, speech recognition models, and multimodal models, whether in the cloud, on-premises, or even on your laptop.",681,FALSE,FALSE,2025-05-30T11:41:55Z,v1.6.1,Apache License 2.0,xorbitsai/inference,726,156,30,2025-06-08T12:25:11Z,Framework,Trial,8003,new,"artificial-intelligence, chatglm, deployment, flan-t5, gemma, ggml, glm4, inference, llama, llama3, llamacpp, llm, machine-learning, mistral, openai-api, pytorch, qwen, vllm, whisper, wizardlm",https://github.com/xorbitsai/inference
